AÑO,MES,UBIGEO,NOMBDEPTO,NOMBPROV,NOMBDIST,TIPO_VEHICULO,TIPO_UNIDAD,TIPO_VEHICULO_PRIO,TIPO_PROCEDENCIA,ESTADO,AÑOFABRICACION,CANTIDAD
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2016,11
2025,JULIO,150109,LIMA METROPOLITANA,LIMA,CIENEGUILLA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2016,1
2025,JULIO,40126,AREQUIPA,AREQUIPA,YANAHUARA,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2015,3
2025,JULIO,210201,PUNO,AZANGARO,AZANGARO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2008,1
2025,JULIO,170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2010,1
2025,JULIO,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,OPERATIVO,2024,2
2025,JULIO,110110,ICA,ICA,SAN JUAN BAUTISTA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,1
2025,JULIO,220102,SAN MARTIN,MOYOBAMBA,CALZADA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2025,1
2025,JULIO,70102,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2015,2
2025,JULIO,40126,AREQUIPA,AREQUIPA,YANAHUARA,TANQUETA,UNIDAD ADMINISTRATIVA,OTROS,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,1974,1
2025,JULIO,180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2007,1
2025,JULIO,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2023,1
2025,JULIO,220901,SAN MARTIN,SAN MARTIN,TARAPOTO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,OFECOD,INOPERATIVO IRRECUPERABLE,1995,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,AUTO,UNIDAD ESPECIALIZADA,AUTO,COMPRA DIRECTA,OPERATIVO,2019,1
2025,JULIO,110106,ICA,ICA,PARCONA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2013,3
2025,JULIO,10201,AMAZONAS,BAGUA,BAGUA,CAMION,COMISARIA BASICA,OTROS,OFECOD,INOPERATIVO IRRECUPERABLE,1988,1
2025,JULIO,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MINIBUS,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2013,1
2025,JULIO,150103,LIMA METROPOLITANA,LIMA,ATE,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,1
2025,JULIO,30101,APURÍMAC,ABANCAY,ABANCAY,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,PRONABI,INOPERATIVO IRRECUPERABLE,1996,1
2025,JULIO,200101,PIURA,PIURA,PIURA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2012,2
2025,JULIO,110101,ICA,ICA,ICA,AUTO,UNIDAD ESPECIALIZADA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1983,1
2025,JULIO,70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,PRONABI,OPERATIVO,2023,1
2025,JULIO,150120,LIMA METROPOLITANA,LIMA,MAGDALENA DEL MAR,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,INOPERATIVO RECUPERABLE,2013,1
2025,JULIO,160303,LORETO,LORETO,TIGRE,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2013,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,AUTO,UNIDAD ESPECIALIZADA,AUTO,DONACION,INOPERATIVO IRRECUPERABLE,2011,4
2025,JULIO,60202,CAJAMARCA,CAJABAMBA,CACHACHI,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,2
2025,JULIO,160504,LORETO,REQUENA,EMILIO SAN MARTIN,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2017,1
2025,JULIO,110201,ICA,CHINCHA,CHINCHA ALTA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2013,2
2025,JULIO,60101,CAJAMARCA,CAJAMARCA,CAJAMARCA,MINIBUS,UNIDAD ESPECIALIZADA,OTROS,DONACION,OPERATIVO,2018,1
2025,JULIO,150501,REGIÓN LIMA,CAÑETE,SAN VICENTE DE CAÑETE,PORTA TROPAS,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,1
2025,JULIO,110501,ICA,PISCO,PISCO,CAMIONETA,COMISARIA BASICA,CAMIONETA,OFECOD,INOPERATIVO IRRECUPERABLE,2002,1
2025,JULIO,120303,JUNIN,CHANCHAMAYO,PICHANAQUI,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2023,3
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,AUTO,UNIDAD ADMINISTRATIVA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1986,2
2025,JULIO,130107,LA LIBERTAD,TRUJILLO,MOCHE,AUTO,UNIDAD ADMINISTRATIVA,AUTO,DONACION,INOPERATIVO IRRECUPERABLE,2009,1
2025,JULIO,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,DESLIZADOR,COMISARIA BASICA,OTROS,DONACION,OPERATIVO,2022,1
2025,JULIO,150801,REGIÓN LIMA,HUAURA,HUACHO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2010,1
2025,JULIO,250101,UCAYALI,CORONEL PORTILLO,CALLERIA,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2001,1
2025,JULIO,150102,LIMA METROPOLITANA,LIMA,ANCON,CAMIONETA,COMISARIA BASICA,CAMIONETA,PRONABI,OPERATIVO,2013,1
2025,JULIO,70106,PROV. CONST. DEL CALLAO,CALLAO,VENTANILLA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,AFECTACION EN USO,OPERATIVO,2009,1
2025,JULIO,221001,SAN MARTIN,TOCACHE,TOCACHE,CAMIONETA,PATRULLAJE CARRETERAS,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,1994,2
2025,JULIO,110201,ICA,CHINCHA,CHINCHA ALTA,MOTOCICLETA,PATRULLAJE CARRETERAS,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,1995,1
2025,JULIO,60407,CAJAMARCA,CHOTA,COCHABAMBA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2015,1
2025,JULIO,150112,LIMA METROPOLITANA,LIMA,INDEPENDENCIA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2013,1
2025,JULIO,40129,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,2
2025,JULIO,160506,LORETO,REQUENA,PUINAHUA,BOTE/MFB,COMISARIA BASICA,OTROS,DONACION,OPERATIVO,2020,1
2025,JULIO,50509,AYACUCHO,LA MAR,SAMUGARI,ANTIMINAS,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,1990,1
2025,JULIO,50101,AYACUCHO,HUAMANGA,AYACUCHO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2008,3
2025,JULIO,120101,JUNIN,HUANCAYO,HUANCAYO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2013,6
2025,JULIO,150705,REGIÓN LIMA,HUAROCHIRI,CHICLA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,1
2025,JULIO,61107,CAJAMARCA,SAN MIGUEL,LLAPA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,150103,LIMA METROPOLITANA,LIMA,ATE,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2018,1
2025,JULIO,220804,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,CAMIONETA,COMISARIA BASICA,CAMIONETA,OTROS,INOPERATIVO IRRECUPERABLE,2010,1
2025,JULIO,90501,HUANCAVELICA,CHURCAMPA,CHURCAMPA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,1
2025,JULIO,150601,REGIÓN LIMA,HUARAL,HUARAL,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2019,2
2025,JULIO,210101,PUNO,PUNO,PUNO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2014,1
2025,JULIO,20301,ÁNCASH,ANTONIO RAYMONDI,LLAMELLIN,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,1
2025,JULIO,150118,LIMA METROPOLITANA,LIMA,LURIGANCHO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,OPERATIVO,2012,1
2025,JULIO,130205,LA LIBERTAD,ASCOPE,PAIJAN,AUTO,COMISARIA BASICA,AUTO,OTROS,INOPERATIVO RECUPERABLE,2017,1
2025,JULIO,200109,PIURA,PIURA,LA ARENA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2017,1
2025,JULIO,160301,LORETO,LORETO,NAUTA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2013,1
2025,JULIO,50101,AYACUCHO,HUAMANGA,AYACUCHO,AUTO,UNIDAD ESPECIALIZADA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1974,1
2025,JULIO,150115,LIMA METROPOLITANA,LIMA,LA VICTORIA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,4
2025,JULIO,200705,PIURA,TALARA,LOS ORGANOS,CAMIONETA,PATRULLAJE CARRETERAS,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,2
2025,JULIO,110201,ICA,CHINCHA,CHINCHA ALTA,AUTO,UNIDAD ESPECIALIZADA,AUTO,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,TRIMOTO,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,OPERATIVO,2010,1
2025,JULIO,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,AUTO,UNIDAD ADMINISTRATIVA,AUTO,CONVENIO NAS,OPERATIVO,2011,1
2025,JULIO,150202,REGIÓN LIMA,BARRANCA,PARAMONGA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2018,1
2025,JULIO,20101,ÁNCASH,HUARAZ,HUARAZ,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,2
2025,JULIO,160101,LORETO,MAYNAS,IQUITOS,MOTOR F/B,UNIDAD ESPECIALIZADA,OTROS,CONVENIO NAS,INOPERATIVO RECUPERABLE,2000,2
2025,JULIO,160101,LORETO,MAYNAS,IQUITOS,AUTO,UNIDAD ADMINISTRATIVA,AUTO,COMPRA DIRECTA,OPERATIVO,2014,1
2025,JULIO,200706,PIURA,TALARA,MANCORA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2011,1
2025,JULIO,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,20
2025,JULIO,211203,PUNO,SANDIA,LIMBANI,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,1
2025,JULIO,230101,TACNA,TACNA,TACNA,CAMIONETA,PUESTO VIGILANCIA DE FRONTERAS,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2023,4
2025,JULIO,40204,AREQUIPA,CAMANA,MARISCAL CACERES,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2015,1
2025,JULIO,200114,PIURA,PIURA,TAMBO GRANDE,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2010,1
2025,JULIO,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,OPERATIVO,2024,2
2025,JULIO,50101,AYACUCHO,HUAMANGA,AYACUCHO,CAMIONETA,PATRULLAJE CARRETERAS,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,150104,LIMA METROPOLITANA,LIMA,BARRANCO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2015,1
2025,JULIO,80101,CUSCO,CUSCO,CUSCO,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2012,51
2025,JULIO,200101,PIURA,PIURA,PIURA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,INOPERATIVO IRRECUPERABLE,2012,3
2025,JULIO,50104,AYACUCHO,HUAMANGA,CARMEN ALTO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2017,2
2025,JULIO,120403,JUNIN,JAUJA,APATA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2014,1
2025,JULIO,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,OFECOD,INOPERATIVO IRRECUPERABLE,1995,1
2025,JULIO,40101,AREQUIPA,AREQUIPA,AREQUIPA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,OPERATIVO,2015,8
2025,JULIO,240302,TUMBES,ZARUMILLA,AGUAS VERDES,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2017,2
2025,JULIO,210101,PUNO,PUNO,PUNO,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,OFECOD,INOPERATIVO IRRECUPERABLE,1992,1
2025,JULIO,140116,LAMBAYEQUE,CHICLAYO,CAYALTI,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2016,1
2025,JULIO,120701,JUNIN,TARMA,TARMA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2008,1
2025,JULIO,230101,TACNA,TACNA,TACNA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,5
2025,JULIO,130101,LA LIBERTAD,TRUJILLO,TRUJILLO,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,11
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,OPERATIVO,2013,1
2025,JULIO,100207,HUANUCO,AMBO,SAN RAFAEL,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,PRONABI,OPERATIVO,2023,3
2025,JULIO,30708,APURÍMAC,GRAU,PROGRESO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,160101,LORETO,MAYNAS,IQUITOS,DESLIZADOR,UNIDAD ESPECIALIZADA,OTROS,CONVENIO NAS,INOPERATIVO RECUPERABLE,1995,1
2025,JULIO,80701,CUSCO,CHUMBIVILCAS,SANTO TOMAS,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2013,1
2025,JULIO,100901,HUANUCO,PUERTO INCA,PUERTO INCA,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2016,1
2025,JULIO,210301,PUNO,CARABAYA,MACUSANI,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2018,1
2025,JULIO,150103,LIMA METROPOLITANA,LIMA,ATE,AUTO,UNIDAD ADMINISTRATIVA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1994,1
2025,JULIO,140101,LAMBAYEQUE,CHICLAYO,CHICLAYO,AUTO,UNIDAD ADMINISTRATIVA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,2001,1
2025,JULIO,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2015,11
2025,JULIO,200115,PIURA,PIURA,VEINTISEIS DE OCTUBRE,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,3
2025,JULIO,100905,HUANUCO,PUERTO INCA,YUYAPICHIS,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2015,1
2025,JULIO,70102,PROV. CONST. DEL CALLAO,CALLAO,BELLAVISTA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2007,1
2025,JULIO,150128,LIMA METROPOLITANA,LIMA,RIMAC,SEMI REMOLQUE,UNIDAD ESPECIALIZADA,OTROS,OFECOD,INOPERATIVO IRRECUPERABLE,1979,1
2025,JULIO,100601,HUANUCO,LEONCIO PRADO,RUPA-RUPA,AUTO,UNIDAD ESPECIALIZADA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1993,1
2025,JULIO,70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2014,1
2025,JULIO,200101,PIURA,PIURA,PIURA,AUTO,UNIDAD ADMINISTRATIVA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1993,1
2025,JULIO,21004,ÁNCASH,HUARI,CHAVIN DE HUANTAR,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,INOPERATIVO RECUPERABLE,2012,1
2025,JULIO,160104,LORETO,MAYNAS,INDIANA,MOTOR F/B,COMISARIA BASICA,OTROS,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,1998,1
2025,JULIO,180301,MOQUEGUA,ILO,ILO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,OPERATIVO,2011,2
2025,JULIO,21801,ÁNCASH,SANTA,CHIMBOTE,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2008,1
2025,JULIO,250202,UCAYALI,ATALAYA,SEPAHUA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2023,1
2025,JULIO,90101,HUANCAVELICA,HUANCAVELICA,HUANCAVELICA,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2016,1
2025,JULIO,250301,UCAYALI,PADRE ABAD,PADRE ABAD,CAMIONETA,PATRULLAJE CARRETERAS,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2009,4
2025,JULIO,150134,LIMA METROPOLITANA,LIMA,SAN LUIS,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,4
2025,JULIO,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,AUTO,UNIDAD ADMINISTRATIVA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,2000,3
2025,JULIO,21801,ÁNCASH,SANTA,CHIMBOTE,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,OPERATIVO,2012,5
2025,JULIO,150135,LIMA METROPOLITANA,LIMA,SAN MARTIN DE PORRES,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2013,1
2025,JULIO,240101,TUMBES,TUMBES,TUMBES,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,DONACION,OPERATIVO,2023,6
2025,JULIO,81207,CUSCO,QUISPICANCHI,HUARO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,1
2025,JULIO,100902,HUANUCO,PUERTO INCA,CODO DEL POZUZO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,40128,AREQUIPA,AREQUIPA,YURA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2020,1
2025,JULIO,60309,CAJAMARCA,CELENDIN,SOROCHUCO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2013,1
2025,JULIO,120114,JUNIN,HUANCAYO,EL TAMBO,MOTOCICLETA,COMISARIA BASICA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2017,1
2025,JULIO,100101,HUANUCO,HUANUCO,HUANUCO,CAMIONETA,UNIDAD ADMINISTRATIVA,CAMIONETA,REPOSICION POR LA CIA SEGUROS PACIFICO,OPERATIVO,2025,1
2025,JULIO,150103,LIMA METROPOLITANA,LIMA,ATE,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2015,1
2025,JULIO,210501,PUNO,EL COLLAO,ILAVE,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2009,1
2025,JULIO,70101,PROV. CONST. DEL CALLAO,CALLAO,CALLAO,GRUA,UNIDAD ESPECIALIZADA,OTROS,COMPRA DIRECTA,OPERATIVO,2023,3
2025,JULIO,21809,ÁNCASH,SANTA,NUEVO CHIMBOTE,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,11
2025,JULIO,150107,LIMA METROPOLITANA,LIMA,CHACLACAYO,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,OPERATIVO,2016,3
2025,JULIO,200101,PIURA,PIURA,PIURA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,OFECOD,INOPERATIVO RECUPERABLE,1993,1
2025,JULIO,150131,LIMA METROPOLITANA,LIMA,SAN ISIDRO,AUTO,UNIDAD ESPECIALIZADA,AUTO,DONACION,OPERATIVO,2023,1
2025,JULIO,21501,ÁNCASH,PALLASCA,CABANA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2010,1
2025,JULIO,200703,PIURA,TALARA,LA BREA,CAMIONETA,COMISARIA BASICA,CAMIONETA,DONACION,OPERATIVO,2024,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,PRONABI,INOPERATIVO RECUPERABLE,2015,1
2025,JULIO,80901,CUSCO,LA CONVENCION,SANTA ANA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,COMPRA DIRECTA,OPERATIVO,2015,4
2025,JULIO,250302,UCAYALI,PADRE ABAD,IRAZOLA,CAMIONETA,COMISARIA BASICA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,2009,1
2025,JULIO,160101,LORETO,MAYNAS,IQUITOS,CAMIONETA,COMISARIA ESPECIALIZADA,CAMIONETA,DONACION,INOPERATIVO IRRECUPERABLE,2012,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,COMPRA DIRECTA,INOPERATIVO IRRECUPERABLE,1995,1
2025,JULIO,150141,LIMA METROPOLITANA,LIMA,SURQUILLO,CAMIONETA,UNIDAD ESPECIALIZADA,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2014,2
2025,JULIO,21014,ÁNCASH,HUARI,SAN MARCOS,CAMIONETA,COMISARIA BASICA,CAMIONETA,AFECTACION EN USO,INOPERATIVO RECUPERABLE,2008,1
2025,JULIO,150705,REGIÓN LIMA,HUAROCHIRI,CHICLA,CAMIONETA,PATRULLAJE CARRETERAS,CAMIONETA,COMPRA DIRECTA,INOPERATIVO RECUPERABLE,2016,1
2025,JULIO,150101,LIMA METROPOLITANA,LIMA,LIMA,AUTO,UNIDAD ESPECIALIZADA,AUTO,OFECOD,INOPERATIVO IRRECUPERABLE,1995,1
2025,JULIO,200101,PIURA,PIURA,PIURA,MOTOCICLETA,UNIDAD ADMINISTRATIVA,MOTOCICLETA,OFECOD,INOPERATIVO IRRECUPERABLE,1994,1
2025,JULIO,110201,ICA,CHINCHA,CHINCHA ALTA,MOTOCICLETA,UNIDAD ESPECIALIZADA,MOTOCICLETA,DONACION,INOPERATIVO RECUPERABLE,2012,1
2025,JULIO,240101,TUMBES,TUMBES,TUMBES,CUATRIMOTO,UNIDAD ESPECIALIZADA,OTROS,DONACION,INOPERATIVO RECUPERABLE,2018,8
